,Unnamed: 0,iata_code,id,ident,type,name,latitude_r,longitude_r,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,local_code,home_link,wikipedia_link,keywords,Name,TotalSeats,Country.Name,Airport1Latitude,Airport1Longitude,name_calc,Country_Name
107,107,ASU,6088.0,SGAS,large_airport,Aeropuerto Internacional Silvio Pettirossi,-25.241736,-57.514104,292.0,SA,PY,PY-11,Luque,yes,SGAS,,,https://en.wikipedia.org/wiki/Silvio_Pettirossi_International_Airport,,Silvio Pettirossi Intl,852643.407,Paraguay,-25.23920059,-57.51919937,Aeropuerto Internacional Silvio Pettirossi (ASU),Paraguay
108,108,ASW,3199.0,HESN,medium_airport,Aswan International Airport,23.968137,32.824445,650.0,AF,EG,EG-ASN,Aswan,yes,HESN,,,https://en.wikipedia.org/wiki/Aswan_International_Airport,,Aswan International Airport,2179.499,Egypt,23.96500015,32.82170105,Aswan International Airport (ASW),Egypt
109,109,ATH,4251.0,LGAV,large_airport,Athens Eleftherios Venizelos International Airport,37.936401,23.9445,308.0,EU,GR,GR-I,Athens,yes,LGAV,,http://www.aia.gr,https://en.wikipedia.org/wiki/Athens_International_Airport,,Eleftherios Venizelos Airport,10671498.72,Greece,37.93640137,23.94440079,Athens Eleftherios Venizelos International Airport (ATH),Greece
110,110,ATL,3384.0,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,yes,KATL,ATL,http://www.atlanta-airport.com/,https://en.wikipedia.org/wiki/Hartsfield–Jackson_Atlanta_International_Airport,,Hartsfield-Jackson Int,11226868.0,United States,33.64080048,-84.42720032,Hartsfield Jackson Atlanta International Airport (ATL),United States
111,111,ATQ,26540.0,VIAR,medium_airport,Sri Guru Ram Dass Jee International Airport,31.7096,74.797302,756.0,AS,IN,IN-PB,Amritsar,yes,VIAR,,http://www.aai.aero/allAirports/amritsar_generalinfo.jsp,https://en.wikipedia.org/wiki/Sri_Guru_Ram_Dass_Jee_International_Airport,Amritsar Air Force Station,Sri Guru Ram Dass Jee,579447.757,India,31.70689964,74.79720306,Sri Guru Ram Dass Jee International Airport (ATQ),India
112,112,ATR,3137.0,GQPA,medium_airport,Atar International Airport,20.50679969787598,-13.04319953918457,734.0,AF,MR,MR-07,Atar,no,GQPA,,,https://en.wikipedia.org/wiki/Atar_International_Airport,,Atar International Airport,1936.851,Mauritania,20.49939919,-13.04640007,Atar International Airport (ATR),Mauritania
113,113,ATW,19320.0,KATW,small_airport,Appleton International Airport,44.258099,-88.519096,918.0,,US,US-WI,Appleton,yes,KATW,ATW,http://atwairport.com/,https://en.wikipedia.org/wiki/Outagamie_County_Regional_Airport,Outagamie County Regional Airport,Appleton International Airport,649.95,United States,44.25780106,-88.51999664,Appleton International Airport (ATW),United States
114,114,ATZ,3177.0,HEAT,medium_airport,Asyut International Airport,27.050818,31.016309,748.0,AF,EG,EG-AST,Asyut,yes,HEAT,,,https://en.wikipedia.org/wiki/Assiut_Airport,Asyut,Asyut,206549.777,Egypt,27.04999924,31.01670075,Asyut International Airport (ATZ),Egypt
115,115,AUA,6402.0,TNCA,large_airport,Queen Beatrix International Airport,12.5014,-70.015198,60.0,,AW,AW-U-A,Oranjestad,yes,TNCA,,,https://en.wikipedia.org/wiki/Queen_Beatrix_International_Airport,Playa,Reina Beatrix,3390247.525,Aruba,12.50220013,-70.01390076,Queen Beatrix International Airport (AUA),Aruba
116,116,AUH,5226.0,OMAA,large_airport,Abu Dhabi International Airport,24.443764,54.651718,88.0,AS,AE,AE-AZ,Abu Dhabi,yes,OMAA,,http://www.abudhabiairport.ae/,https://en.wikipedia.org/wiki/Abu_Dhabi_International_Airport,,Abu Dhabi Intl,13299133.91,United Arab Emirates,24.43309975,54.64889908,Abu Dhabi International Airport (AUH),United Arab Emirates
